cycle,delta_line_mAcm2,m_fit,b_ox_fit,b_red_fit,is_outlier_zscore,delta_line_mAcm2_no_outliers_zscore,is_sampled,delta_line_mAcm2,m_fit,b_ox_fit,b_red_fit,is_outlier_zscore,delta_line_mAcm2_no_outliers_zscore,is_sampled
62.0,0.021598895396825468,0.2093572380952372,-0.24780507399485624,-0.2694039693916817,,,False,0.028620569920634942,0.10767275510204036,-0.10360948340306075,-0.1322300533236957,,,False
63.0,0.02102170282074234,0.19120340494092294,-0.22941131624599276,-0.2504330190667351,,,False,0.028594417425110402,0.10589952559971319,-0.10181550548558863,-0.13040992291069903,,,False
64.0,0.021210137590404632,0.1979200633727165,-0.23582454238102363,-0.25703467997142826,,,False,0.02852303816326529,0.10771301360544182,-0.10369633087993169,-0.13221936904319698,,,False
65.0,0.021095410849146734,0.2066569133548151,-0.24451143251915952,-0.26560684336830626,,,False,0.02854427298603654,0.10793973863229465,-0.10394499721285322,-0.13248927019888976,,,False
66.0,0.020553839338226576,0.22010528857858863,-0.2587345354207533,-0.2792883747589799,,,False,0.028453414092373813,0.10752274579305361,-0.10355468980793006,-0.13200810390030387,,,False
67.0,0.020825664645542474,0.2085777765843171,-0.2463187861180013,-0.26714445076354376,,,False,0.028380832047380344,0.10751784389545262,-0.10359644615936242,-0.13197727820674277,,,False
68.0,0.02097452335541239,0.20547835123523028,-0.24272164001221203,-0.2636961633676244,,,False,0.028307263873970645,0.10713259040458248,-0.10324540985812708,-0.13155267373209772,,,False
69.0,0.020367920129490458,0.231533625492301,-0.2698329342142973,-0.2902008543437878,0.0,0.020367920129490458,True,0.028239410631937023,0.10827635481561007,-0.1044592817246863,-0.13269869235662332,0.0,0.028239410631937023,True
70.0,0.01926308881907149,0.15121116935195061,-0.1878967127386374,-0.20715980155770888,,,False,0.028222821252536112,0.10719733548156073,-0.10337334591195818,-0.1315961671644943,,,False
71.0,0.02031384282790316,0.19546037379162126,-0.2321600057413183,-0.25247384856922145,,,False,0.028172067040219573,0.10754489545291765,-0.10379553584330439,-0.13196760288352397,,,False
72.0,0.021094767568922312,0.15944875546007822,-0.19415117110447633,-0.21524593867339864,,,False,0.028100711915503063,0.10853890225563874,-0.10484523471439275,-0.1329459466298958,,,False
73.0,0.020394229627043847,0.19913383494450326,-0.23542585937226762,-0.25582008899931147,,,False,0.028025942351115884,0.10549462298603607,-0.10177967038700281,-0.1298056127381187,,,False
74.0,0.020302680528106076,0.1998390343716426,-0.23596343951921073,-0.2562661200473168,,,False,0.027946721149898573,0.1067136322950229,-0.10306135308315395,-0.13100807423305252,,,False
75.0,0.01983517268946175,0.15850509165771512,-0.19374028143396504,-0.2135754541234268,,,False,0.027843556766320582,0.1089896566416036,-0.10547965358376257,-0.13332321035008315,,,False
76.0,0.02015712309225448,0.19717366093805894,-0.2329348146953486,-0.2530919377876031,,,False,0.02782695453872777,0.10941242320085892,-0.10597453054425313,-0.1338014850829809,,,False
77.0,0.020675158300513197,0.1906210118152515,-0.22552428937083907,-0.24619944767135227,,,False,0.027720566506743066,0.10728701539563146,-0.10382091325395584,-0.1315414797606989,,,False
78.0,0.020010651319966655,0.19858827175080498,-0.23410410887564487,-0.2541147601956115,,,False,0.027715863136412444,0.10858605048335086,-0.1051887982323842,-0.13290466136879664,,,False
79.0,0.019623660553765465,0.21195126459004598,-0.24804019756941292,-0.2676638581231784,0.0,0.019623660553765465,True,0.027646477835660627,0.10834637235946987,-0.10503482109706383,-0.13268129893272446,0.0,0.027646477835660627,True
80.0,0.019832726672634027,0.1959705148585743,-0.23125378885428066,-0.2510865155269147,,,False,0.02743307594939734,0.10838371535982769,-0.10514816717298556,-0.1325812431223829,,,False
81.0,0.01969983501133793,0.1977388571428564,-0.23285706669355027,-0.2525569017048882,,,False,0.027451155952977674,0.10749319298245567,-0.10429659245635475,-0.13174774840933243,,,False
82.0,0.019855910439790014,0.1948766294307188,-0.22974784289187017,-0.24960375333166018,,,False,0.027295861077097527,0.10697090476190428,-0.10385540788333283,-0.13115126896043036,,,False
83.0,0.019697746519274417,0.1768003809523805,-0.2112024981875914,-0.23090024470686582,,,False,0.02722572741794968,0.10747233906194023,-0.10443000247327211,-0.1316557298912218,,,False
84.0,0.01960058854159208,0.19754273182957305,-0.23246264954532675,-0.25206323808691883,,,False,0.02713094449039266,0.1075494854994626,-0.10456320586621881,-0.13169415035661147,,,False
85.0,0.01923069824919449,0.19370516362334347,-0.22865998605435384,-0.24789068430354833,,,False,0.027073285457095142,0.10830204905119901,-0.10537444187928707,-0.13244772733638221,,,False
86.0,0.01925866277479421,0.18492114393125617,-0.21956869316800154,-0.23882735594279575,,,False,0.02700122424513665,0.10890118331543105,-0.106078741460705,-0.13307996570584166,,,False
87.0,0.019241536318773123,0.1904403415682055,-0.2250882654481926,-0.24432980176696573,,,False,0.02679233779269602,0.10608191299677729,-0.10330681727384497,-0.130099155066541,,,False
88.0,0.01957589895214229,0.1999798847117787,-0.23449242170921086,-0.25406832066135315,,,False,0.026717864968373334,0.10669461546723925,-0.10397144975365172,-0.13068931472202505,,,False
89.0,0.019030809140708982,0.18656394880057225,-0.2210359345209854,-0.2400667436616944,0.0,0.019030809140708982,True,0.026611718873373907,0.10769426136770453,-0.10507103465857459,-0.1316827535319485,0.0,0.026611718873373907,True
90.0,0.0193398826805109,0.19160236018617904,-0.22579667723731828,-0.24513655991782918,,,False,0.026514985794247548,0.10821943788041495,-0.10571648349104867,-0.13223146928529622,,,False
91.0,0.01933054199427145,0.196221675259577,-0.2304777798995677,-0.24980832189383914,,,False,0.026401567210287635,0.10948190225563872,-0.10711934205418869,-0.13352090926447632,,,False
92.0,0.018742429788757647,0.17380807876834872,-0.20775276080842892,-0.22649519059718656,,,False,0.02635881258980785,0.1078722173290365,-0.10553917260288184,-0.1318979851926897,,,False
93.0,0.019307491870151683,0.18820601790189706,-0.22200440506515084,-0.24131189693530253,,,False,0.02630367827246688,0.10790069674185421,-0.10566170658170387,-0.13196538485417075,,,False
94.0,0.019212472860126506,0.19120286967418482,-0.22498677297199726,-0.24419924583212377,,,False,0.026252649200381922,0.10756215180809123,-0.10541033899767235,-0.13166298819805428,,,False
95.0,0.01924780921410668,0.1903049645542421,-0.22391808869303054,-0.24316589790713722,,,False,0.026067764548275474,0.1077089530970279,-0.10567819947178622,-0.1317459640200617,,,False
96.0,0.019160351300274547,0.18937752918009232,-0.22295699550923437,-0.24211734680950892,,,False,0.026012254319727895,0.10641637414965945,-0.10440665418129214,-0.13041890850102003,,,False
97.0,0.018640199656283607,0.22265156319369764,-0.25768511003792816,-0.27632530969421176,,,False,0.025977277298006946,0.10652729788757566,-0.10464218022479368,-0.13061945752280063,,,False
98.0,0.019244457083184174,0.1739040418904399,-0.2067459539078384,-0.22599041099102257,,,False,0.025817876149898583,0.10863745542427458,-0.10694079515730359,-0.13275867130720218,,,False
99.0,0.01865807387874452,0.20067701181525194,-0.23477091042847215,-0.25342898430721666,0.0,0.01865807387874452,True,0.02577394378684808,0.10945289795918325,-0.10787835123265266,-0.13365229501950074,0.0,0.02577394378684808,True
100.0,0.018795681411863052,0.17616312710347232,-0.20928317998383167,-0.22807886139569472,,,False,0.025618807863706905,0.10868832008592871,-0.10719903834983846,-0.13281784621354537,,,False
101.0,0.03265543367167924,0.06735208771929771,-0.08243110908822929,-0.11508654275990853,,,False,0.029422975910609855,0.05246415789473672,-0.04527881826364116,-0.07470179417425102,,,False
102.0,0.018932471530015565,0.1778412696025773,-0.2100936326187019,-0.22902610414871746,,,False,0.025367274307793286,0.1038369566774074,-0.10238677501575327,-0.12775404932354656,,,False
103.0,0.01871223253968257,0.18010368027210827,-0.21250536899310146,-0.23121760153278403,,,False,0.02525240355113975,0.1110244317937697,-0.11003867244650872,-0.13529107599764847,,,False
104.0,0.01888107417293236,0.1862840977443603,-0.2186882341012561,-0.23756930827418846,,,False,0.025226674738035554,0.11034202900107372,-0.1095287304012349,-0.13475540513927045,,,False
105.0,0.01869765907387519,0.18373634837092664,-0.2160919252189274,-0.23478958429280258,,,False,0.025204727459720744,0.10636252810597875,-0.10557959883922258,-0.13078432629894332,,,False
106.0,0.01863440805585395,0.17678244683136338,-0.20901520368342352,-0.22764961173927747,,,False,0.025211438255161728,0.10692780773361932,-0.10636707018856026,-0.131578508443722,,,False
107.0,0.018748418663921768,0.18630073540995276,-0.21859849784299396,-0.23734691650691572,,,False,0.025199368787444776,0.10672452631578896,-0.10629389711417783,-0.1314932659016226,,,False
108.0,0.018651454015992414,0.18423981274615042,-0.21635909849372004,-0.23501055250971245,,,False,0.025309661987110654,0.10743586967418492,-0.10718751317429231,-0.13249717516140297,,,False
109.0,0.01873942724489802,0.18715227210884292,-0.21928236938955042,-0.23802179663444845,0.0,0.01873942724489802,True,0.025420331199427132,0.11467218725384842,-0.11478973415110946,-0.1402100653505366,0.0,0.025420331199427132,True
110.0,0.018517403131638688,0.19895409846043619,-0.2315506525957608,-0.2500680557273995,,,False,0.025325264899152627,0.10663765127103418,-0.10686567541066905,-0.13219094030982168,,,False
111.0,0.017979933916935226,0.14988875725026818,-0.18143617811237128,-0.1994161120293065,,,False,0.025636025397422157,0.1085038528464012,-0.10900227753560632,-0.13463830293302848,,,False
112.0,0.01876246515156943,0.17747919441460724,-0.2089569102212453,-0.22771937537281473,,,False,0.025709143093447934,0.1099913734335834,-0.11086041092004956,-0.1365695540134975,,,False
113.0,0.018244194211719855,0.200603587182241,-0.23326380716461614,-0.251508001376336,,,False,0.025800794540517952,0.1109209953455061,-0.11215699238202603,-0.13795778692254398,,,False
114.0,0.018359739397899533,0.17874030791263812,-0.21050456511789417,-0.2288643045157937,,,False,0.026021367718104788,0.1109949806659499,-0.11265921426278125,-0.13868058198088604,,,False
115.0,0.018631835911803396,0.184455503043322,-0.21604861408597142,-0.23468044999777482,,,False,0.026178996238214597,0.11105554063730694,-0.11303418527882142,-0.13921318151703602,,,False
116.0,0.01872172641007286,0.17653172502685224,-0.20776294577234738,-0.22648467218242024,,,False,0.026382377536698892,0.12037587182241268,-0.12322111134067262,-0.14960348887737152,,,False
117.0,0.018412417771213774,0.1870904826351586,-0.2188278033276856,-0.23724022109889936,,,False,0.026431799523212812,0.12615014035087666,-0.12965237772391638,-0.1560841772471292,,,False
118.0,0.018351081365914873,0.19887011779448543,-0.23098081322094222,-0.2493318945868571,,,False,0.02684153024823968,0.12107751199427075,-0.12503408117810533,-0.151875611426345,,,False
119.0,0.01835193415682071,0.19803481919083354,-0.2300166736546716,-0.2483686078114923,0.0,0.01835193415682071,True,0.027429832681704264,0.12231141962047905,-0.12676242262987758,-0.15419225531158184,0.0,0.027429832681704264,True
120.0,0.018317973280224414,0.18244223272466864,-0.2139317795909687,-0.23224975287119312,,,False,0.027679548523093456,0.1189854432509838,-0.12397160076006006,-0.1516511492831535,,,False
121.0,0.017995561855830094,0.15856777407805167,-0.1895781381135611,-0.2075736999693912,,,False,0.028146722627401838,0.11754511672037139,-0.12326847940903954,-0.15141520203644138,,,False
122.0,0.01779700149659874,0.2006484421768702,-0.23297261029024424,-0.250769611786843,,,False,0.029059142860126536,0.129595828857858,-0.13639100527837353,-0.16545014813850006,,,False
123.0,0.01839822420097867,0.18384016791979882,-0.21504267348485223,-0.2334408976858309,,,False,0.02943066206468556,0.13584170569280254,-0.14396700826917203,-0.17339767033385758,,,False
124.0,0.01851277504236784,0.1863044976727527,-0.21734966265057298,-0.23586243769294082,,,False,0.029759961322950224,0.14805006659505818,-0.15746767500472522,-0.18722763632767545,,,False
125.0,0.01800731488125079,0.21328499785177124,-0.2455965618313824,-0.2636038767126332,,,False,0.02959264844969567,0.15960865878983083,-0.17074847198381582,-0.2003411204335115,,,False
126.0,0.01845198364124606,0.18342755853920464,-0.21439031850474916,-0.23284230214599522,,,False,0.029613814089390122,0.16253914142498996,-0.17499041657139175,-0.20460423066078187,,,False
127.0,0.017946991877312385,0.19078997314715293,-0.22234472837259867,-0.24029172024991105,,,False,0.029742890390261373,0.17427278875760746,-0.18821910869675895,-0.21796199908702032,,,False
128.0,0.018394116432151858,0.18294553884711695,-0.21377760680019248,-0.23217172323234433,,,False,0.02932121514261843,0.1731230547798056,-0.18827313385800115,-0.21759434900061958,,,False
129.0,0.01835374347475835,0.18407707697815906,-0.2149292670451466,-0.23328301051990494,0.0,0.01835374347475835,True,0.029321193215180813,0.18611172144647234,-0.20266969197568824,-0.23199088519086905,0.0,0.029321193215180813,True
130.0,0.018173631266260926,0.18598103938417415,-0.21707269269519386,-0.23524632396145478,,,False,0.028594266462585005,0.1927104625850331,-0.2108629918238087,-0.2394572582863937,,,False
131.0,0.01859205726697699,0.1715472764052982,-0.20169325698413026,-0.22028531425110726,,,False,0.02848639387934121,0.19092044969566666,-0.20978671869287396,-0.23827311257221517,,,False
132.0,0.01809701069757727,0.18098273934837023,-0.21182736656150525,-0.22992437725908252,,,False,0.02824958475713102,0.19186004117436362,-0.21161238568215085,-0.23986197043928187,,,False
133.0,0.018489909451605224,0.1823487919799488,-0.21282584508789582,-0.23131575453950104,,,False,0.028025001531209043,0.19405026781238718,-0.21446569929649023,-0.24249070082769927,,,False
134.0,0.017564436515097287,0.16415524776226226,-0.19490493264132497,-0.21246936915642226,,,False,0.027959783332736576,0.19777035803795107,-0.21903764987629704,-0.2469974332090336,,,False
135.0,0.01817242033536226,0.19194374865735683,-0.22288266504831278,-0.24105508538367504,,,False,0.027618082733023047,0.1998639072681694,-0.2219222996349256,-0.24954038236794865,,,False
136.0,0.01798420602279513,0.19149104403866782,-0.2225238802945776,-0.24050808631737272,,,False,0.027334686849862733,0.19824327962763952,-0.2208457451023979,-0.24818043195226064,,,False
137.0,0.01831292176751409,0.18337236233440687,-0.21384277304817984,-0.23215569481569392,,,False,0.02723286034490996,0.20313381596849173,-0.22626496125764317,-0.25349782160255313,,,False
138.0,0.01804932032462106,0.17618491442892883,-0.2066312880393249,-0.22468060836394596,,,False,0.02696874194951665,0.2001213104189034,-0.2234867879409228,-0.25045552989043945,,,False
139.0,0.018353269849027354,0.17905356999641922,-0.20925217259486745,-0.2276054424438948,0.0,0.018353269849027354,True,0.02717068642737802,0.20633240315073303,-0.23021869935191458,-0.2573893857792926,0.0,0.02717068642737802,True
140.0,0.018605818999283957,0.16027559971356914,-0.18955470810902203,-0.208160527108306,,,False,0.026231755473206886,0.20625823236663002,-0.2308392190593797,-0.2570709745325866,,,False
141.0,0.01827849784282143,0.19032423236663007,-0.22085412446245023,-0.23913262230527166,,,False,0.026174330263157908,0.20462067669172845,-0.22919674794038586,-0.25537107820354377,,,False
142.0,0.01824725901420221,0.1810949344790541,-0.2113710381936233,-0.2296182972078255,,,False,0.025062827788519038,0.20856741926244096,-0.2335544821660928,-0.25861730995461185,,,False
143.0,0.018369183529657496,0.17127900143215113,-0.201066431283009,-0.2194356148126665,,,False,0.025076218970640912,0.1967586222699596,-0.22153541910433128,-0.2466116380749722,,,False
144.0,0.01802712511934601,0.19241722234156736,-0.22306256083411735,-0.24108968595346336,,,False,0.025086735252416836,0.19620714178302803,-0.22105633797803337,-0.2461430732304502,,,False
145.0,0.018101868409118094,0.18113518904403816,-0.21131262641192855,-0.22941449482104664,,,False,0.02469506484067313,0.19999052810597823,-0.2250567770310588,-0.24975184187173194,,,False
146.0,0.018095649663444402,0.18876752524167512,-0.21908111537211117,-0.23717676503555557,,,False,0.024625858980785287,0.19594744038668005,-0.22093811971713118,-0.24556397869791646,,,False
